,plane,sequence contrast,mode,sequence type
0,SAG,T1,3D,MPRAGE
1,SAG,T1,3D,SPACE
2,SAG,T1,,TSE
3,SAG,T1,3D,SPACE
4,SAG,T1,3D,MPRAGE
5,SAG,T1,3D,SPACE
6,SAG,T1,3D,MPRAGE
7,SAG,T1,3D,MPRAGE
8,SAG,T1,3D,SPACE
9,TRA,DWI,,
10,TRA,DWI,,
11,SAG,T1,,TSE
12,SAG,T1,3D,MPRAGE
13,SAG,T1,3D,MPRAGE
14,SAG,T1,3D,MPRAGE
15,SAG,T1,,TSE
16,COR,,2D,TOF
17,SAG,T1,3D,MPRAGE
18,SAG,T1,3D,MPRAGE
19,SAG,T1,3D,MPRAGE
20,,,,
21,COR,T2,,TSE
22,TRA,,3D,TOF
23,SAG,T1,3D,MPRAGE
24,SAG,T1,3D,SPACE
25,SAG,T1,,
26,TRA,,,
27,TRA,,,
28,,,,
29,COR,T2,,TSE
30,,,,
31,SAG,T1,,TSE
32,SAG,T2,,
33,SAG,T1,,TSE
34,SAG,T1,,TSE
35,SAG,T1,,TSE
36,SAG,T1,,DIXON
37,SAG,T1,,
38,SAG,T2,,TSE
39,SAG,T1,,TSE
40,SAG,T1,,TSE
41,SAG,T2,,TSE
42,,,,
43,SAG,T1,,TSE
44,SAG,T1,,TSE
45,SAG,T1,3D,VIBE
46,,,,
47,SAG,T1,,TSE
48,SAG,T2,,TSE
49,TRA,,,
50,SAG,PD,,TSE
51,SAG,,,
52,COR,T2,,
53,COR,T2,3D,SPACE
54,COR,T2,,
55,COR,T1,3D,VIBE
56,COR,T1,3D,VIBE
57,COR,T1,3D,VIBE
