,0,1,2,3,4,5,6,7
0,Sag,T1,3D,mprage,,,,
1,Sag,T1,3D,Space,,,,
2,Sag,T1,TSE,,,,,
3,Sag,T1,3D,Space,,,,
4,Sag,T1,3D,mprage,,,,
5,Sag,T1,3D,Space,Black,Blood,,
6,Sag,T1,3D,mprage,,,,
7,Sag,T1,3D,mprage,,,,
8,Sag,T1,3D,Space,,,,
9,,,,,,,,
10,Tra,DWI,5,mm,,,,
11,Tra,DWI,(b0,og,b1000),,,
12,Sag,T1,TSE,4,mm,,,
13,Sag,T1,3D,mprage,,,,
14,Sag,T1,3D,mprage,,,,
15,Sag,T1,3D,mprage,,,,
16,Sag,T1,TSE,,,,,
17,,,,,,,,
18,Cor,2D,TOF,,,,,
19,Sag,T1,3D,mprage,,,,
20,Sag,T1,3D,mprage,,,,
21,Sag,T1,3D,mprage,,,,
22,,,,,,,,
23,Cor,T2,TSE,Dixon,3mm,(IP,+,W)
24,Tra,3D,TOF,,,,,
25,Sag,T1,3D,mprage,,,,
26,Sag,T1,3D,SPACE,,,,
27,Sag,T1,3mm,,,,,
28,Tra,/,Sag,loc,,,,
29,Tra,/,Sag,loc,,,,
30,,,,,,,,
31,,,,,,,,
32,,,,,,,,
33,Cor,T2,TSE,Dixon,3mm,(IP,+,W)
34,,,,,,,,
35,Sag,T1,TSE,,,,,
36,Sag,T2,,,,,,
37,Sag,T1,TSE,,,,,
38,Sag,T1,TSE,,,,,
39,Sag,T1,TSE,,,,,
40,Sag,T1,Dixon,,,,,
41,Sag,T1,SE,,,,,
42,Sag,T2,TSE,,,,,
43,Sag,T1,TSE,,,,,
44,Sag,T1,TSE,,,,,
45,Sag,T2,TSE,Dixon,,,,
46,,,,,,,,
47,Sag,,T1,TSE,,,,
48,Sag,T1,TSE,,,,,
49,Sag,T1,3D,Vibe,Dixon,(FS),,
50,,,,,,,,
51,Sag,T1,TSE,,Dixon,,,
52,Sag,T2,TSE,,,,,
53,Neutral,stilling,av,c.col:,,,,
54,Sag,TSE,PD,DIXON,2,mm,,
55,Sagittal,snittføring,,,,,,
56,Cor,T2,,,,,,
57,Cor,T2,3D,STIR,Space,,,
58,Cor,T2,,,,,,
59,Cor,T1,3D,Vibe,Dixon,,,
60,Cor,T1,3D,Vibe,Dixon,,,
61,Cor,T1,3D,Vibe,Dixon,,,
